loc,title,bedroom,bathroom,parking_space,predicted_price
Cross River,Mansion,4,1,2,3460418
Ekiti,Penthouse,9,6,1,3540537
Enugu,Flat,8,4,4,2746396
Niger,Detached duplex,8,4,3,2735625
Rivers,Penthouse,9,4,1,4451682
Ogun,Bungalow,7,3,2,2544690
Ogun,Terrace duplex,9,5,4,3524740
Imo,Terrace duplex,2,4,3,1515043
Kwara,Mansion,3,3,6,2518882
Yobe,Townhouse,1,1,2,1095797
Nasarawa,Flat,3,1,1,1286094
Adamawa,Apartment,4,1,1,1279265
Lagos,Penthouse,1,4,2,3746921
Taraba,Bungalow,8,6,6,2482581
Delta,Townhouse,6,1,3,2814786
Kebbi,Semi-detached duplex,3,2,4,872774
Kano,Apartment,6,6,2,1955859
Lagos,Townhouse,2,2,6,2603712
Kano,Terrace duplex,6,4,5,2361865
Anambra,Apartment,6,7,6,2154891
Ogun,Apartment,5,4,1,2083424
Ogun,Flat,2,2,4,1741497
Gombe,Cottage,4,2,3,1124542
Ondo,Flat,5,4,2,1966075
Delta,Penthouse,9,3,6,5080770
Nasarawa,Bungalow,1,5,4,1178174
Edo,Semi-detached duplex,8,6,4,2995323
Bayelsa,Townhouse,4,1,4,2699206
Rivers,Flat,4,7,3,2804844
Lagos,Bungalow,5,2,4,3473433
Ogun,Penthouse,6,1,4,3761446
Kwara,Townhouse,5,2,2,1887998
Kogi,Apartment,2,1,2,1031301
Rivers,Mansion,7,2,5,6151273
Edo,Apartment,1,5,5,1364092
Kogi,Penthouse,1,2,3,1350126
Yobe,Mansion,2,3,1,2032284
Gombe,Mansion,5,6,3,3403253
Delta,Semi-detached duplex,9,2,1,3723359
Imo,Flat,1,3,3,1058100
Ogun,Townhouse,2,6,2,1810810
Benue,Semi-detached duplex,3,2,4,1406696
Borno,Apartment,5,1,2,1227214
Borno,Terrace duplex,4,1,3,1391289
Anambra,Semi-detached duplex,2,7,2,1690604
Kaduna,Terrace duplex,6,7,1,1948794
Enugu,Flat,7,5,6,2410342
Kwara,Bungalow,5,1,3,1567503
Ondo,Terrace duplex,5,5,3,2291489
Anambra,Detached duplex,4,1,2,1995658
Oyo,Townhouse,1,1,3,1327025
Kano,Apartment,7,7,6,2525890
Kogi,Bungalow,5,4,2,1669657
Cross River,Flat,2,1,5,1603455
Nasarawa,Townhouse,2,1,4,1238825
Anambra,Townhouse,3,2,2,1980571
Bauchi,Flat,9,1,4,2629485
Anambra,Townhouse,4,3,5,2744351
Zamfara,Bungalow,3,3,2,1338182
Sokoto,Detached duplex,6,4,3,2302660
Abia,Cottage,3,2,1,1095764
Kebbi,Penthouse,9,2,6,3133034
Abia,Flat,3,1,4,1267121
Nasarawa,Penthouse,1,1,3,1643355
Ondo,Mansion,7,3,3,4730232
Taraba,Townhouse,7,1,1,2546157
Lagos,Semi-detached duplex,1,3,3,2656407
Katsina,Penthouse,5,2,2,2381856
Imo,Detached duplex,3,1,1,1762005
Akwa Ibom,Penthouse,4,2,3,3088729
Rivers,Mansion,7,6,3,5673686
Plateau,Townhouse,2,1,3,1246702
Ondo,Bungalow,4,1,4,1777267
Delta,Semi-detached duplex,1,1,3,1463122
Cross River,Flat,5,3,1,2034918
Rivers,Apartment,4,1,2,1623010
Borno,Townhouse,2,1,3,1293070
Cross River,Terrace duplex,7,7,2,2798133
Kebbi,Mansion,9,1,5,3612298
Gombe,Townhouse,4,4,3,1940305
Yobe,Terrace duplex,2,1,4,1130103
Ondo,Flat,2,1,3,1523908
Cross River,Townhouse,5,6,5,2835429
Kaduna,Cottage,1,2,4,809909
Borno,Townhouse,4,3,1,1757777
Ogun,Semi-detached duplex,1,1,4,1542982
Imo,Cottage,1,2,3,1114582
Zamfara,Apartment,5,3,4,1384483
Katsina,Townhouse,9,3,3,2775149
Yobe,Mansion,8,2,4,3648362
Ekiti,Mansion,7,1,1,3516935
Kwara,Bungalow,2,6,5,1381072
Osun,Detached duplex,2,1,1,1311247
Plateau,Penthouse,3,1,3,1878581
Osun,Apartment,2,2,4,1201466
Delta,Semi-detached duplex,8,7,6,3312213
Borno,Terrace duplex,5,1,2,1449577
Osun,Flat,2,1,4,1381857
Ekiti,Detached duplex,8,5,6,3370956
Borno,Flat,3,2,3,1206943
Lagos,Detached duplex,2,6,5,3604324
Osun,Terrace duplex,1,2,2,1239023
Kogi,Mansion,4,5,1,3190346
Kaduna,Townhouse,5,2,3,1840358
Adamawa,Bungalow,2,1,5,1000509
Rivers,Cottage,2,1,3,1812096
Bayelsa,Terrace duplex,5,7,5,4213144
Kebbi,Mansion,2,3,2,1920847
Benue,Mansion,5,2,3,3450577
Zamfara,Mansion,6,3,3,3255625
Bauchi,Detached duplex,5,2,4,2002992
Adamawa,Penthouse,3,7,4,1834286
Kogi,Flat,1,6,5,1237045
Imo,Townhouse,9,2,4,2870767
Enugu,Terrace duplex,5,4,1,2351700
Abia,Apartment,7,7,4,1938880
Enugu,Flat,9,2,3,2834071
Abia,Cottage,1,2,3,719718
Nasarawa,Semi-detached duplex,5,5,6,2261789
Zamfara,Penthouse,4,2,3,1784696
Enugu,Terrace duplex,2,1,2,1329855
Ebonyi,Bungalow,9,6,5,2346596
Ondo,Penthouse,6,3,4,3525861
Oyo,Terrace duplex,1,1,2,1291189
Abia,Flat,2,1,2,1086191
Abia,Mansion,6,6,6,3476822
Yobe,Mansion,5,1,4,2576941
Jigawa,Semi-detached duplex,7,1,5,2210362
Imo,Cottage,4,2,2,1440565
Taraba,Townhouse,2,1,1,1294651
Sokoto,Bungalow,8,7,5,2275121
Borno,Cottage,2,2,4,923475
Nasarawa,Townhouse,1,2,6,1405914
Oyo,Townhouse,8,7,5,3277785
Nasarawa,Apartment,5,1,1,1616259
Bayelsa,Terrace duplex,5,2,4,2809199
Kebbi,Apartment,7,3,4,1762683
Niger,Apartment,4,1,4,1302237
Ekiti,Detached duplex,8,3,2,3104884
Cross River,Penthouse,8,7,3,4128090
Jigawa,Flat,4,1,4,1423569
Enugu,Terrace duplex,1,1,2,1242926
Niger,Detached duplex,7,2,3,2456315
Ekiti,Semi-detached duplex,7,4,5,2520813
Katsina,Cottage,3,1,3,1287981
Yobe,Semi-detached duplex,3,2,4,1194465
Gombe,Townhouse,3,4,4,1644389
Akwa Ibom,Detached duplex,4,2,6,3123501
Kebbi,Mansion,8,6,1,4072220
Bayelsa,Townhouse,3,2,4,2345990
Bauchi,Semi-detached duplex,9,4,1,2445016
Bauchi,Mansion,2,2,4,2123851
Bauchi,Mansion,5,2,4,3110865
Yobe,Flat,2,5,2,1144467
Osun,Detached duplex,8,1,5,3005752
Lagos,Townhouse,3,1,1,4062611
Kaduna,Semi-detached duplex,1,2,6,1117806
Nasarawa,Cottage,3,2,3,1344547
Ogun,Flat,3,5,2,1680237
Bayelsa,Semi-detached duplex,2,7,6,2339273
Kaduna,Townhouse,7,5,1,2500486
Abia,Detached duplex,7,5,1,2640489
Kaduna,Penthouse,2,2,2,1654385
Niger,Cottage,1,2,3,902643
Lagos,Cottage,3,1,3,3966631
Enugu,Bungalow,6,1,2,2357780
Cross River,Penthouse,9,3,2,4838087
Ekiti,Penthouse,1,1,1,1558830
Jigawa,Mansion,4,7,4,3203720
Adamawa,Penthouse,5,1,4,2408916
Edo,Mansion,3,7,2,2874090
Ondo,Terrace duplex,1,2,3,1290001
Ogun,Apartment,8,2,1,2803252
Adamawa,Terrace duplex,7,4,2,2241705
Borno,Mansion,5,3,2,3105865
Osun,Detached duplex,9,4,2,3357117
Bayelsa,Terrace duplex,8,7,4,4077447
Ebonyi,Mansion,3,1,2,1690219
Ondo,Penthouse,5,1,3,2814318
Cross River,Bungalow,5,1,1,2197553
Cross River,Mansion,1,1,3,2753519
Cross River,Townhouse,3,2,2,1938564
Kebbi,Cottage,2,2,1,593352
Bayelsa,Cottage,1,1,2,1334462
Zamfara,Apartment,3,2,2,1229567
Zamfara,Bungalow,5,2,2,1562780
Katsina,Bungalow,9,2,1,2438289
Osun,Semi-detached duplex,1,7,6,1563921
Cross River,Apartment,5,1,3,1848644
Sokoto,Apartment,2,5,5,1198475
Abia,Mansion,1,1,4,1863197
Nasarawa,Penthouse,4,3,2,2550874
Bayelsa,Mansion,3,2,3,3921337
Enugu,Apartment,1,1,4,1256275
Yobe,Townhouse,9,4,4,3226408
Kaduna,Mansion,1,4,4,1934752
Abia,Cottage,4,2,1,1235478
Bauchi,Semi-detached duplex,5,1,2,1655248
Delta,Flat,5,2,3,2143722
Benue,Semi-detached duplex,4,1,3,1459252
Abia,Townhouse,3,2,4,1289423
Anambra,Semi-detached duplex,5,1,2,2175588
Imo,Mansion,4,2,1,3547781
Niger,Apartment,8,3,5,2140106
Niger,Detached duplex,7,5,5,2520142
Oyo,Bungalow,4,4,3,1810545
Plateau,Apartment,2,3,5,1006966
Niger,Flat,8,1,5,2218554
Sokoto,Semi-detached duplex,5,3,1,1540051
Gombe,Semi-detached duplex,4,1,1,1321158
Oyo,Detached duplex,5,4,5,2507756
Ekiti,Semi-detached duplex,8,3,1,2849829
Taraba,Detached duplex,7,4,4,2619322
Katsina,Bungalow,4,2,2,1455665
Bayelsa,Bungalow,5,5,1,2921782
Delta,Penthouse,1,2,1,2326018
Kwara,Penthouse,6,1,5,2310465
Kogi,Terrace duplex,2,2,2,1101959
Ogun,Cottage,5,2,3,1961328
Bayelsa,Terrace duplex,1,2,2,1799211
Osun,Apartment,5,2,1,1500690
Lagos,Apartment,1,3,1,2806757
Imo,Terrace duplex,3,2,6,1729056
Ondo,Bungalow,6,4,5,2502879
Edo,Apartment,2,1,5,1224391
Oyo,Mansion,4,1,4,3314020
Delta,Terrace duplex,2,3,4,1793281
Kwara,Flat,1,4,5,1205776
Imo,Terrace duplex,4,2,1,1755044
Kwara,Apartment,4,2,5,1346511
Rivers,Mansion,9,6,1,5819981
Bauchi,Bungalow,3,2,4,1234296
Lagos,Terrace duplex,1,4,4,1919634
Imo,Apartment,7,6,2,1941506
Osun,Semi-detached duplex,2,2,4,1433110
Lagos,Terrace duplex,5,7,2,3220648
Ebonyi,Terrace duplex,3,4,5,1485434
Akwa Ibom,Flat,5,1,4,3502350
Enugu,Bungalow,4,1,1,1567935
Yobe,Townhouse,3,2,4,1317502
Sokoto,Terrace duplex,1,2,4,973575
Kogi,Cottage,1,2,3,762221
Kebbi,Apartment,9,7,2,2155739
Akwa Ibom,Mansion,8,5,4,5924158
Edo,Semi-detached duplex,4,1,2,1865564
Cross River,Apartment,5,1,3,1848644
Nasarawa,Flat,4,1,2,1569876
Ebonyi,Apartment,2,2,1,895663
Borno,Flat,7,6,3,1750296
Imo,Penthouse,4,1,3,2146210
Bauchi,Semi-detached duplex,1,7,5,1376340
Ondo,Townhouse,1,1,4,1317404
Ondo,Mansion,7,1,4,4734126
Gombe,Terrace duplex,1,2,3,912770
Ebonyi,Cottage,2,2,1,846798
Akwa Ibom,Apartment,3,6,1,2047057
Edo,Apartment,5,6,5,2073222
Imo,Penthouse,5,6,1,3202015
Borno,Flat,1,2,4,779062
Borno,Townhouse,4,3,5,1945868
Jigawa,Flat,5,1,4,1470247
Anambra,Mansion,5,5,2,3872978
Kwara,Bungalow,2,1,1,1061577
Katsina,Flat,3,3,1,1100485
Ogun,Mansion,1,4,2,2982100
Kwara,Flat,6,5,3,2121112
Plateau,Penthouse,3,1,2,1920395
Yobe,Terrace duplex,3,2,3,1085164
Borno,Townhouse,3,7,1,1659657
Rivers,Detached duplex,6,7,2,3929227
Enugu,Bungalow,2,2,3,1389950
Benue,Townhouse,7,2,3,2418713
Kaduna,Apartment,2,1,3,1029940
Kano,Flat,7,7,4,2631463
Edo,Flat,5,1,2,2073327
Abia,Semi-detached duplex,8,7,6,2720653
Niger,Townhouse,9,1,3,2909993
Abia,Mansion,8,2,3,4199727
Bayelsa,Terrace duplex,2,6,5,2708690
Borno,Flat,8,5,3,2073060
Osun,Terrace duplex,2,2,1,1279565
Delta,Apartment,7,2,4,2609401
Kwara,Terrace duplex,5,5,5,2115522
Kano,Detached duplex,5,7,6,2354462
Oyo,Townhouse,5,5,3,2518087
Sokoto,Mansion,1,2,6,1324982
Oyo,Apartment,3,4,1,1884423
Kwara,Mansion,5,2,3,3279168
Oyo,Mansion,3,2,3,3640187
Imo,Mansion,6,6,4,3877708
Delta,Bungalow,7,5,6,3010147
Abia,Apartment,5,7,1,1612851
Borno,Terrace duplex,8,1,3,2242875
Imo,Bungalow,5,2,2,1994369
Osun,Penthouse,3,2,2,2274937
Sokoto,Bungalow,1,1,1,732489
Yobe,Bungalow,2,3,3,969893
Edo,Townhouse,9,4,6,3450768
Oyo,Terrace duplex,1,7,3,1232715
Akwa Ibom,Penthouse,9,4,3,4506350
Kebbi,Terrace duplex,5,6,3,1875679
Abia,Bungalow,3,3,1,1171937
Nasarawa,Bungalow,9,1,5,2743256
Adamawa,Mansion,6,6,5,3272503
Kebbi,Townhouse,3,2,6,1399122
Katsina,Penthouse,4,1,3,1996544
Ogun,Apartment,5,6,1,2210881
Kano,Semi-detached duplex,1,1,3,1188200
Edo,Penthouse,2,2,4,2176211
Kaduna,Bungalow,8,7,1,2271019
Bauchi,Apartment,2,2,5,974516
Nasarawa,Terrace duplex,5,7,4,2184690
Borno,Bungalow,1,2,4,798374
Kano,Flat,8,3,3,2533019
Kwara,Townhouse,7,7,4,2597768
Delta,Bungalow,7,1,5,2889087
Abia,Mansion,3,4,1,2634180
Bayelsa,Detached duplex,2,6,6,2227094
Nasarawa,Mansion,1,1,3,2494837
Delta,Townhouse,4,7,4,3086723
Akwa Ibom,Detached duplex,1,1,4,1953661
Kogi,Bungalow,4,1,4,1267186
Edo,Detached duplex,7,4,2,3239357
Niger,Semi-detached duplex,3,2,1,1278070
Bayelsa,Apartment,5,3,4,2448614
Osun,Bungalow,5,1,4,1907780
Kwara,Mansion,3,2,3,2991780
Katsina,Mansion,2,1,1,2208459
Katsina,Apartment,5,1,1,1435706
Borno,Townhouse,9,2,1,2651581
Yobe,Penthouse,6,2,3,2498472
Anambra,Penthouse,5,2,2,2652788
Jigawa,Detached duplex,2,2,2,1280423
Taraba,Semi-detached duplex,3,3,2,1502663
Kogi,Flat,5,1,4,1253323
Bauchi,Mansion,5,2,6,3058488
Imo,Apartment,6,4,2,1650341
Cross River,Detached duplex,2,1,2,1790152
Oyo,Terrace duplex,9,3,1,3190557
Ebonyi,Townhouse,1,2,2,1050437
Nasarawa,Penthouse,5,5,4,2858552
Bayelsa,Flat,6,6,2,3538120
Bauchi,Townhouse,5,7,6,2344824
Benue,Penthouse,9,2,2,3540329
Yobe,Apartment,1,6,6,1116101
Kano,Bungalow,5,1,1,1713644
Imo,Flat,8,5,5,2541697
Anambra,Detached duplex,2,2,5,1667223
Akwa Ibom,Bungalow,3,2,1,1973560
Kano,Mansion,5,1,4,2872678
Cross River,Detached duplex,6,6,4,3265308
Taraba,Semi-detached duplex,7,5,5,2320365
Edo,Townhouse,5,1,2,2074608
Edo,Apartment,2,2,2,1305094
Katsina,Terrace duplex,6,4,3,2213120
Kwara,Flat,2,2,4,1119075
Adamawa,Penthouse,5,7,5,2329998
Kano,Semi-detached duplex,6,7,4,2393555
Taraba,Townhouse,1,1,1,918003
Imo,Semi-detached duplex,6,4,1,2267692
Plateau,Mansion,2,4,2,2437049
Anambra,Mansion,1,4,3,3329628
Gombe,Terrace duplex,2,1,2,1007246
Jigawa,Cottage,1,1,3,848080
Taraba,Townhouse,3,1,1,1535795
Cross River,Townhouse,5,4,4,2684769
Anambra,Penthouse,4,1,2,2333437
Lagos,Bungalow,3,2,1,3090383
Adamawa,Mansion,5,1,1,2911027
Benue,Flat,2,1,3,1194739
Katsina,Semi-detached duplex,7,6,4,2410513
Kebbi,Detached duplex,5,1,3,1397029
Enugu,Detached duplex,2,3,4,1657523
Abia,Apartment,2,4,2,1119203
Enugu,Detached duplex,1,4,3,1638029
Benue,Penthouse,6,2,2,2690169
Akwa Ibom,Bungalow,2,2,1,1627785
Kebbi,Apartment,5,5,4,1585962
Osun,Cottage,4,2,4,1366394
Kogi,Terrace duplex,4,1,2,1346469
Bayelsa,Cottage,2,1,1,1861580
Yobe,Mansion,1,2,3,1779343
Benue,Bungalow,7,5,2,2045555
Benue,Bungalow,2,1,5,1027340
Katsina,Terrace duplex,1,6,1,1253860
Kebbi,Semi-detached duplex,2,1,4,920642
Osun,Penthouse,1,1,3,1642740
Ogun,Semi-detached duplex,5,1,3,2441371
Oyo,Apartment,8,6,6,2942075
Edo,Bungalow,9,7,2,2851627
Kebbi,Apartment,2,1,4,819775
Lagos,Bungalow,9,1,5,4465134
Sokoto,Mansion,6,1,6,2839470
Kebbi,Apartment,7,3,6,1700171
Rivers,Terrace duplex,1,4,3,2052599
Nasarawa,Apartment,2,5,5,1397244
Sokoto,Bungalow,1,3,3,835845
Plateau,Apartment,5,2,2,1516739
Taraba,Flat,3,1,2,1153625
Abia,Detached duplex,3,4,6,1689234
Akwa Ibom,Apartment,2,2,3,1459295
Plateau,Mansion,9,1,2,4458250
Kogi,Flat,4,1,3,1223420
Plateau,Detached duplex,5,2,4,2135030
Bauchi,Apartment,5,2,4,1451807
Plateau,Flat,9,3,2,2512003
Gombe,Townhouse,5,1,3,1527230
Katsina,Terrace duplex,5,5,4,1985006
Kogi,Semi-detached duplex,9,2,5,2563646
Kogi,Semi-detached duplex,9,6,5,2587406
Enugu,Apartment,5,2,1,1967321
Borno,Townhouse,5,7,6,2365452
Edo,Mansion,8,4,1,4310087
Yobe,Bungalow,3,2,3,1040718
Zamfara,Apartment,5,2,1,1411499
Anambra,Detached duplex,3,7,6,1865513
Edo,Apartment,4,2,5,1569335
Delta,Flat,3,1,2,1658181
Benue,Bungalow,5,1,2,1947720
Niger,Terrace duplex,3,7,1,1554065
Osun,Penthouse,4,1,2,2272756
Jigawa,Townhouse,6,3,5,2268936
Cross River,Semi-detached duplex,3,5,2,1940435
Kaduna,Semi-detached duplex,1,6,6,1329170
Cross River,Cottage,5,1,4,2289090
Edo,Penthouse,7,1,1,3520198
Kaduna,Mansion,2,2,1,2113593
Benue,Flat,2,5,5,1413025
Borno,Detached duplex,7,2,1,2286675
Edo,Bungalow,2,2,2,1348661
Kebbi,Bungalow,1,6,1,842361
Lagos,Penthouse,1,2,2,4163757
Lagos,Terrace duplex,4,2,1,2631455
Abia,Cottage,5,1,3,1296916
Oyo,Townhouse,7,5,6,2996151
Kano,Townhouse,9,5,4,3308831
Imo,Terrace duplex,8,6,2,2499793
Ekiti,Mansion,6,6,3,4195160
Adamawa,Apartment,1,2,2,798449
Niger,Terrace duplex,4,2,3,1684222
Kogi,Cottage,2,2,2,986236
Kwara,Penthouse,5,1,2,2118917
Bauchi,Apartment,2,6,6,1628067
Anambra,Cottage,3,2,4,1516974
Zamfara,Mansion,5,3,2,2469577
Kaduna,Penthouse,8,3,5,3164385
Lagos,Terrace duplex,1,1,4,1937350
Zamfara,Flat,3,2,2,1327927
Borno,Bungalow,5,3,3,1491209
Ebonyi,Apartment,3,6,1,1149188
Sokoto,Apartment,7,4,3,1964364
Zamfara,Semi-detached duplex,6,6,5,2029059
Ogun,Bungalow,4,6,4,2312929
Katsina,Mansion,3,1,2,2404869
Cross River,Bungalow,4,2,3,1873857
Ekiti,Semi-detached duplex,1,2,2,1274449
Katsina,Penthouse,4,6,5,2375916
Kano,Penthouse,5,1,3,2470063
Bayelsa,Apartment,5,1,2,2661313
Ekiti,Detached duplex,7,3,5,2719716
Taraba,Terrace duplex,9,5,3,2730699
Taraba,Flat,3,5,5,1537650
Sokoto,Cottage,1,2,1,742506
Lagos,Bungalow,4,2,1,3267973
Ondo,Mansion,8,6,3,5554042
Kano,Mansion,3,5,2,2856216
Enugu,Detached duplex,4,1,3,2077681
Delta,Mansion,2,2,4,2938326
Benue,Bungalow,4,2,6,1755494
Akwa Ibom,Townhouse,9,5,6,3579328
Enugu,Mansion,2,1,3,2265360
Cross River,Townhouse,2,2,3,1765090
Ogun,Terrace duplex,1,2,2,1478895
Katsina,Mansion,9,1,2,3978933
Nasarawa,Flat,9,2,2,2701142
Plateau,Terrace duplex,4,3,1,1795158
Lagos,Mansion,5,1,1,7275417
Lagos,Apartment,3,1,4,2968171
Yobe,Bungalow,4,6,1,1481806
Anambra,Penthouse,3,1,1,2035144
Bauchi,Mansion,2,6,1,2383691
Taraba,Detached duplex,9,1,1,2534783
Taraba,Semi-detached duplex,6,6,1,1951741
Anambra,Apartment,9,7,4,3337293
Kwara,Terrace duplex,1,3,4,1020217
Enugu,Cottage,5,1,1,1772042
Edo,Mansion,3,5,2,3119453
Kwara,Detached duplex,8,4,3,2823462
Taraba,Semi-detached duplex,9,7,3,2847036
Bayelsa,Flat,3,4,3,2323560
Ekiti,Detached duplex,5,1,1,2035733
Akwa Ibom,Terrace duplex,2,1,3,1793532
Abia,Bungalow,5,2,4,1526434
Zamfara,Cottage,4,2,1,1122841
Yobe,Penthouse,4,3,5,2043978
Rivers,Mansion,6,3,4,5924194
Katsina,Flat,1,1,6,1140250
Kwara,Terrace duplex,4,1,1,1469542
Plateau,Flat,1,2,2,954701
Ondo,Flat,5,1,1,1372803
Edo,Townhouse,5,2,1,2165019
Anambra,Detached duplex,1,2,2,1665399
Ondo,Flat,2,1,1,1183062
Borno,Terrace duplex,4,7,1,1871588
Katsina,Cottage,3,2,2,1180577
Kebbi,Bungalow,9,5,5,2268852
Kwara,Semi-detached duplex,4,3,6,1982924
Jigawa,Townhouse,2,2,3,1260115
Delta,Townhouse,9,7,3,3912946
Katsina,Terrace duplex,1,1,5,1090032
Adamawa,Apartment,4,5,5,1806414
Bayelsa,Flat,5,2,3,2881574
Sokoto,Flat,3,7,2,1330616
Adamawa,Apartment,5,4,5,1807177
Plateau,Townhouse,2,7,4,1729706
Taraba,Townhouse,1,1,4,1160470
Katsina,Semi-detached duplex,2,1,1,1133258
Kogi,Apartment,8,7,6,2215025
Sokoto,Terrace duplex,3,1,3,1152541
Akwa Ibom,Detached duplex,4,3,3,2883239
Bayelsa,Flat,5,7,5,3388842
Jigawa,Apartment,4,4,1,1562286
Rivers,Penthouse,1,7,1,2520855
Ogun,Mansion,2,2,1,3926148
Kano,Bungalow,5,2,2,1754851
Ekiti,Detached duplex,8,7,2,3140722
Ekiti,Penthouse,1,2,3,1824571
Ondo,Townhouse,6,6,3,2754837
Nasarawa,Townhouse,7,2,2,2749800
Jigawa,Bungalow,2,2,3,1061526
Ekiti,Semi-detached duplex,9,5,4,3139848
Kaduna,Terrace duplex,2,2,4,1194357
Kaduna,Apartment,4,5,3,1550691
Akwa Ibom,Penthouse,5,2,1,3191393
Ebonyi,Bungalow,6,5,5,1644209
Rivers,Penthouse,3,2,4,2764841
Osun,Penthouse,7,6,3,3458493
Edo,Mansion,7,7,2,4778324
Cross River,Mansion,5,2,1,4026727
Ebonyi,Apartment,4,1,2,1110121
Bauchi,Apartment,3,4,1,1196754
Ondo,Flat,8,3,2,2955911
Ogun,Cottage,4,1,3,2006471
Anambra,Bungalow,4,2,2,1562173
Anambra,Mansion,1,4,3,3329628
Katsina,Mansion,1,3,2,2208305
Imo,Terrace duplex,3,3,4,1635367
Sokoto,Detached duplex,1,2,2,1193198
Akwa Ibom,Cottage,1,1,3,1627529
Rivers,Bungalow,3,5,2,1790401
Abia,Mansion,3,5,3,2524927
Borno,Apartment,3,3,5,1408908
Ebonyi,Penthouse,5,2,4,2215267
Zamfara,Semi-detached duplex,4,2,2,1457168
Rivers,Semi-detached duplex,6,3,1,2982095
Zamfara,Bungalow,2,2,4,994067
Osun,Penthouse,7,3,6,3417466
Cross River,Penthouse,3,2,4,2482521
Ogun,Mansion,2,1,4,3905057
Delta,Apartment,3,4,4,2044266
Zamfara,Semi-detached duplex,5,3,4,1663035
Rivers,Semi-detached duplex,7,6,6,3361758
Niger,Detached duplex,6,1,4,2346150
Enugu,Bungalow,7,6,1,2497598
Bauchi,Flat,4,1,1,1431567
Imo,Mansion,3,4,5,2825676
Benue,Cottage,3,1,4,1212111
Abia,Apartment,7,5,6,2224650
Kano,Townhouse,7,2,1,2500982
Sokoto,Flat,3,2,2,1151139
Ogun,Flat,3,1,1,1644296
Sokoto,Flat,4,2,4,1295102
Imo,Flat,4,1,1,2056865
Kebbi,Flat,1,1,2,502082
Kwara,Semi-detached duplex,1,1,3,902315
Lagos,Flat,7,5,5,3298041
Kogi,Townhouse,1,1,3,991663
Jigawa,Penthouse,4,7,4,2183149
Kebbi,Penthouse,2,1,4,1248468
Ondo,Penthouse,4,2,1,2553663
Edo,Bungalow,5,1,5,2008235
Benue,Apartment,3,1,6,1163116
Adamawa,Mansion,2,3,4,1834926
Akwa Ibom,Bungalow,4,1,3,1817150
Enugu,Cottage,2,2,4,1314466
Oyo,Mansion,1,1,2,2500447
Ondo,Terrace duplex,6,5,2,2471893
Akwa Ibom,Townhouse,7,6,6,3096848
Abia,Mansion,7,7,6,3482001
Edo,Flat,5,1,2,2073327
Benue,Bungalow,4,1,2,1364126
Zamfara,Flat,8,2,3,1942131
Benue,Mansion,3,4,4,2568220
Rivers,Penthouse,4,6,2,3736928
Ogun,Mansion,4,2,3,4828119
Gombe,Flat,3,1,2,1047779
Edo,Townhouse,7,2,5,3281716
Kogi,Bungalow,3,3,4,1275477
Taraba,Penthouse,5,1,5,2383623
Jigawa,Townhouse,5,1,1,1399674
Zamfara,Detached duplex,4,1,3,1450246
Gombe,Bungalow,3,2,1,1382463
Katsina,Semi-detached duplex,2,1,2,1202944
Abia,Flat,1,6,4,1011008
Katsina,Semi-detached duplex,1,1,2,1058284
Anambra,Flat,5,5,1,1905164
Kebbi,Bungalow,1,5,6,1024205
Bauchi,Terrace duplex,5,1,4,1512551
Kano,Flat,9,1,4,2722689
Kaduna,Flat,2,2,3,1167346
Cross River,Townhouse,3,2,2,1938564
Abia,Apartment,5,2,6,1512891
Plateau,Flat,8,4,1,2151699
Kebbi,Townhouse,4,2,2,1780074
Ebonyi,Terrace duplex,8,6,5,2586824
Cross River,Penthouse,2,2,1,2099147
Kaduna,Terrace duplex,1,1,1,871881
Ekiti,Detached duplex,7,1,2,2826207
Kogi,Terrace duplex,4,2,2,1402472
Ondo,Townhouse,4,2,1,1912914
Akwa Ibom,Flat,8,1,4,3866051
Jigawa,Bungalow,4,3,3,1443987
Bauchi,Mansion,7,5,6,3213996
Lagos,Mansion,1,2,3,7083707
Kaduna,Townhouse,1,7,2,1477224
Enugu,Apartment,5,1,4,2013947
Borno,Semi-detached duplex,5,4,3,1659557
Plateau,Mansion,4,2,4,3431870
Ondo,Flat,3,2,2,1640761
Ekiti,Mansion,8,1,3,4268697
Rivers,Flat,7,2,2,3189871
Gombe,Detached duplex,3,3,6,1661226
Anambra,Mansion,8,2,1,4330197
Katsina,Apartment,9,2,5,2314543
Nasarawa,Townhouse,3,1,2,2101737
Plateau,Mansion,9,5,1,4523327
Rivers,Semi-detached duplex,4,2,4,2515604
Osun,Bungalow,7,4,2,2453637
Kano,Mansion,2,6,6,2851115
Ebonyi,Mansion,1,4,6,2443194
Nasarawa,Mansion,1,2,2,2797015
Zamfara,Penthouse,5,1,3,2186083
Abia,Apartment,6,4,6,1624771
Anambra,Flat,4,5,6,2124409
Niger,Mansion,5,1,2,2999227
Cross River,Penthouse,1,1,2,1785458
Adamawa,Flat,8,6,1,2879698
Oyo,Townhouse,4,2,1,1961243
Delta,Mansion,5,1,3,3824691
Nasarawa,Bungalow,8,3,4,2537911
Zamfara,Apartment,8,6,3,2107478
Rivers,Semi-detached duplex,3,1,3,1886268
Anambra,Detached duplex,5,7,4,2494611
Imo,Detached duplex,6,1,2,2398062
Katsina,Townhouse,5,2,2,1851301
Oyo,Apartment,5,4,1,2162188
Zamfara,Mansion,2,1,6,1557241
Niger,Bungalow,4,2,2,1301001
